year,Berlin,Baden-Württemberg,Brandenburg
1989,31.38,10.29,
1990,31.06,14.64,21.0
1991,38.84,4.02,32.01
1992,34.13,11.95,32.01
1993,31.78,21.3,30.77
1994,29.97,7.37,22.42
1995,30.99,4.66,36.88
1996,33.53,11.0,32.46
1997,33.0,16.27,31.26
1998,31.34,20.5,27.07
1999,28.84,6.25,25.94
2000,28.12,6.83,27.92
2001,26.94,15.78,26.92
2002,27.9,26.91,28.14
2003,25.05,18.95,24.63
2004,28.87,13.71,23.79
2005,22.51,1.93,25.45
2006,22.07,5.17,22.88
2007,23.69,12.98,23.51
2008,24.99,18.75,21.47
2009,22.64,6.23,19.6
2010,20.84,1.15,26.37
2011,20.41,2.16,28.18
2012,24.38,10.39,26.95
2013,26.55,7.02,26.03
2014,15.79,2.84,24.24
2015,14.5,1.03,26.19
2016,15.4,1.93,25.23
2017,15.92,4.56,24.15
2018,14.85,5.06,23.74
2019,15.91,0.44,24.06
2020,16.1,0.3,23.67
2021,14.94,0.35,19.19
2022,14.84,5.76,17.77
2023,15.39,2.44,17.32
