year,Berlin,Baden-Württemberg,Brandenburg
1989,213.3,279.42,
1990,81.1,265.22,9.0
1991,381.42,127.4,35.38
1992,408.86,165.88,41.17
1993,294.89,214.59,57.08
1994,140.75,178.96,29.84
1995,95.17,120.33,80.85
1996,262.95,194.75,46.6
1997,316.91,200.32,82.9
1998,242.89,182.1,42.41
1999,97.46,182.93,16.8
2000,241.38,107.06,73.23
2001,131.58,153.71,52.18
2002,410.68,194.17,36.61
2003,324.43,214.71,15.38
2004,272.65,199.57,12.54
2005,219.01,128.19,19.11
2006,139.08,134.79,33.34
2007,449.66,154.72,28.11
2008,382.82,178.89,22.09
2009,295.93,197.28,23.2
2010,202.23,116.85,17.4
2011,97.15,138.16,18.81
2012,405.61,173.73,21.97
2013,388.3,158.41,36.29
2014,314.87,154.27,24.2
2015,224.0,102.98,51.2
2016,130.0,153.4,35.88
2017,512.36,177.09,31.67
2018,361.49,151.33,23.16
2019,325.88,161.59,25.57
2020,207.08,116.9,27.19
2021,100.95,120.74,25.72
2022,192.96,172.47,29.43
2023,181.65,142.61,28.28
