year,Berlin,Baden-Württemberg,Brandenburg
1989,34.98,0.0,
1990,27.67,0.04,59.73
1991,42.58,0.04,14.39
1992,50.54,2.65,14.57
1993,38.96,2.46,15.4
1994,21.15,0.84,7.04
1995,15.33,0.0,22.56
1996,31.58,0.5,22.42
1997,25.56,0.0,13.72
1998,26.65,1.88,11.78
1999,18.03,0.0,17.54
2000,27.49,0.0,27.51
2001,13.49,0.28,24.8
2002,51.72,0.0,16.38
2003,43.79,0.0,18.25
2004,32.52,0.0,11.84
2005,14.69,0.06,16.58
2006,30.58,0.29,17.56
2007,65.08,0.0,18.68
2008,37.22,0.0,18.42
2009,36.53,0.0,12.15
2010,12.99,0.0,24.45
2011,10.87,0.03,40.37
2012,53.68,0.0,41.63
2013,75.61,0.0,27.38
2014,49.8,0.0,38.21
2015,32.77,0.0,71.91
2016,43.46,0.21,55.66
2017,105.5,2.23,34.98
2018,98.03,0.0,16.68
2019,80.55,0.0,17.07
2020,61.74,0.0,68.99
2021,26.94,0.02,47.37
2022,63.26,0.0,58.08
2023,39.32,4.2,34.12
