year,Berlin,Baden-Württemberg,Brandenburg
1989,137.7,81.86,
1990,65.52,101.79,113.5
1991,202.92,119.0,135.25
1992,288.94,112.51,119.29
1993,189.96,68.47,168.28
1994,173.1,113.44,176.96
1995,106.6,64.79,130.13
1996,181.43,71.38,131.14
1997,217.62,50.2,107.27
1998,161.52,46.04,107.68
1999,89.26,75.16,98.18
2000,129.02,29.03,113.67
2001,81.98,46.14,90.53
2002,260.08,21.09,111.16
2003,288.38,100.32,91.84
2004,206.56,49.56,82.2
2005,151.95,31.97,107.62
2006,138.75,89.97,141.43
2007,230.98,42.06,90.77
2008,244.06,138.53,111.04
2009,188.6,42.12,102.03
2010,155.4,38.37,101.85
2011,109.11,67.48,137.96
2012,345.32,31.74,165.02
2013,197.91,16.5,146.3
2014,217.58,111.78,87.45
2015,148.45,73.42,130.45
2016,131.14,92.58,114.21
2017,235.51,97.82,178.91
2018,181.8,90.23,114.84
2019,168.63,103.2,100.13
2020,99.7,68.3,84.55
2021,100.46,83.92,118.55
2022,146.78,99.4,99.34
2023,112.09,83.86,128.43
