VTypL;First Document Type;Count;Percentage
Anfrage;Kleine Anfrage und Antwort;18126;84.78
Anfrage;['Mündliche Anfragen (Sammeldrucksache)', 'Mündliche Anfrage'];1574;7.36
Anfrage;Mündliche Anfrage;524;2.45
Anfrage;Große Anfrage und Antwort;473;2.21
Anfrage;Große Anfrage;227;1.06
Anfrage;Regierungsbefragung;214;1.0
Anfrage;Kleine Anfrage;95;0.44
Anfrage;['Aktuelle Debatte', 'Regierungsbefragung'];62;0.29
Anfrage;['Vorschlag', 'Regierungsbefragung'];38;0.18
Anfrage;Mündliche Anfragen (Sammeldrucksache);20;0.09
Anfrage;Vorschlag;11;0.05
Anfrage;none;4;0.02
Anfrage;Antrag und Stellungnahme;4;0.02
Anfrage;Regierungsinformation;3;0.01
Anfrage;Aktuelle Debatte;3;0.01
Anfrage;['Regierungserklärung', 'Regierungsbefragung'];2;0.01
Anfrage;['Regierungsinformation', 'Regierungsbefragung'];1;0.0
