VTypL;First Document Type;Count;Percentage
Antrag;Antrag und Stellungnahme;24220;96.26
Antrag;Antrag;674;2.68
Antrag;Dringlicher Antrag;161;0.64
Antrag;Entschließungsantrag;59;0.23
Antrag;Änderungsantrag;14;0.06
Antrag;Änderungs- und Entschließungsanträge (Sammeldrucksache);8;0.03
Antrag;Beschlussempfehlung und Bericht;7;0.03
Antrag;['Änderungs- und Entschließungsanträge (Sammeldrucksache)', 'Antrag'];4;0.02
Antrag;['Änderungs- und Entschließungsanträge (Sammeldrucksache)', 'Entschließungsantrag'];3;0.01
Antrag;Änderungsanträge (Sammeldrucksache);3;0.01
Antrag;Mitteilung;2;0.01
Antrag;Volksantrag und Stellungnahme;2;0.01
Antrag;Ergänzende Stellungnahme;1;0.0
Antrag;['Änderungs- und Entschließungsanträge (Sammeldrucksache)', 'Änderungsantrag'];1;0.0
Antrag;['Änderungsanträge (Sammeldrucksache)', 'Änderungsantrag'];1;0.0
Antrag;none;1;0.0
