VTypL;First Document Type;Count;Percentage
Beschlussempfehlung;Beschlussempfehlungen und Berichte (Sammeldrucksache);1450;82.48
Beschlussempfehlung;Beschlussempfehlung und Bericht;164;9.33
Beschlussempfehlung;Beschlussempfehlung;58;3.3
Beschlussempfehlung;none;41;2.33
Beschlussempfehlung;['Beschlussempfehlungen und Berichte (Sammeldrucksache)', 'Beschlussempfehlung und Bericht'];22;1.25
Beschlussempfehlung;Mündlicher Bericht und Aussprache;12;0.68
Beschlussempfehlung;Wahlvorschlag;3;0.17
Beschlussempfehlung;['Aktuelle Debatte', 'Mündlicher Bericht und Aussprache'];3;0.17
Beschlussempfehlung;Mitteilung;2;0.11
Beschlussempfehlung;Aktuelle Debatte;1;0.06
Beschlussempfehlung;Antrag und Stellungnahme;1;0.06
Beschlussempfehlung;['Mündlicher Bericht', 'Mündlicher Bericht und Aussprache'];1;0.06
