VTypL;First Document Type;Count;Percentage
Gesetz;['Beschlussempfehlung und Bericht', 'Änderungsantrag'];2445;71.49
Gesetz;Gesetzentwurf;367;10.73
Gesetz;['Beschlussempfehlung und Bericht', 'Entschließungsantrag'];171;5.0
Gesetz;['Beschlussempfehlung und Bericht', 'Antrag'];169;4.94
Gesetz;['Änderungs- und Entschließungsanträge (Sammeldrucksache)', 'Änderungsantrag'];69;2.02
Gesetz;Beschlussempfehlung und Bericht;49;1.43
Gesetz;['Beschlussempfehlung', 'Änderungsantrag'];47;1.37
Gesetz;['Änderungs- und Entschließungsanträge (Sammeldrucksache)', 'Antrag'];31;0.91
Gesetz;['Änderungsanträge (Sammeldrucksache)', 'Änderungsantrag'];31;0.91
Gesetz;Änderungsantrag;16;0.47
Gesetz;['Änderungs- und Entschließungsanträge (Sammeldrucksache)', 'Entschließungsantrag'];11;0.32
Gesetz;Beschlussempfehlung;6;0.18
Gesetz;Änderungsanträge (Sammeldrucksache);2;0.06
Gesetz;Entschließungsantrag;2;0.06
Gesetz;Änderungs- und Entschließungsanträge (Sammeldrucksache);1;0.03
Gesetz;Antrag;1;0.03
Gesetz;none;1;0.03
Gesetz;['Entschließungsantrag', 'Entschließungsantrag'];1;0.03
