VTypL;First Document Type;Count;Percentage
Sonstiges;Ansprache;460;30.59
Sonstiges;Mitteilung;302;20.08
Sonstiges;none;195;12.97
Sonstiges;['Aktuelle Debatte', 'Ansprache'];117;7.78
Sonstiges;Geschäftsordnungsantrag;76;5.05
Sonstiges;['Vorschlag', 'Ansprache'];74;4.92
Sonstiges;['Vorschlag', 'Mitteilung'];63;4.19
Sonstiges;Vorschlag;33;2.19
Sonstiges;Aktuelle Debatte;31;2.06
Sonstiges;['Aktuelle Debatte', 'Mitteilung'];28;1.86
Sonstiges;Beschlussempfehlung und Bericht;25;1.66
Sonstiges;Antrag;20;1.33
Sonstiges;['Beschlussempfehlungen und Berichte (Sammeldrucksache)', 'Beschlussempfehlung und Bericht'];16;1.06
Sonstiges;['Regierungserklärung', 'Ansprache'];8;0.53
Sonstiges;Verzeichnis;7;0.47
Sonstiges;['Wahlvorschlag', 'Ansprache'];5;0.33
Sonstiges;['Vorschlag', 'Geschäftsordnungsantrag'];5;0.33
Sonstiges;['Ansprache', 'Ansprache'];5;0.33
Sonstiges;Erklärung;4;0.27
Sonstiges;['Beschlussempfehlung und Bericht', 'Änderungsantrag'];4;0.27
Sonstiges;Regierungserklärung;3;0.2
Sonstiges;Beschlussempfehlung;3;0.2
Sonstiges;['Regierungserklärung', 'Mitteilung'];3;0.2
Sonstiges;['Änderungsanträge (Sammeldrucksache)', 'Änderungsantrag'];2;0.13
Sonstiges;['Aktuelle Debatte', 'Erklärung'];2;0.13
Sonstiges;['Ansprache', 'Geschäftsordnungsantrag'];2;0.13
Sonstiges;['Aktuelle Debatte', 'Geschäftsordnungsantrag'];2;0.13
Sonstiges;Aussprache;2;0.13
Sonstiges;Mündlicher Bericht;1;0.07
Sonstiges;Antrag und Stellungnahme;1;0.07
Sonstiges;['Vorschlag', 'Erklärung'];1;0.07
Sonstiges;Wahlvorschlag;1;0.07
Sonstiges;['Wahlvorschlag', 'Geschäftsordnungsantrag'];1;0.07
Sonstiges;Regierungsinformation;1;0.07
Sonstiges;['Ansprache', 'Mitteilung'];1;0.07
