VTypL;First Document Type;Count;Percentage
Sonstiges;Ansprache;460;30.59
Sonstiges;Mitteilung;302;20.08
Sonstiges;none;195;12.97
Sonstiges;['Aktuelle Debatte', 'Ansprache'];117;7.78
Sonstiges;Geschäftsordnungsantrag;76;5.05
Sonstiges;['Vorschlag', 'Ansprache'];74;4.92
Sonstiges;['Vorschlag', 'Mitteilung'];63;4.19
Sonstiges;Vorschlag;33;2.19
Sonstiges;Aktuelle Debatte;31;2.06
Sonstiges;['Aktuelle Debatte', 'Mitteilung'];28;1.86
Sonstiges;Beschlussempfehlung und Bericht;25;1.66
Sonstiges;Antrag;20;1.33
Sonstiges;['Beschlussempfehlungen und Berichte (Sammeldrucksache)', 'Beschlussempfehlung und Bericht'];16;1.06
