VTypL;First Document Type;Count;Percentage
Antrag;Antrag;3727;91.35
Antrag;Antrag auf Aktuelle Stunde;120;2.94
Antrag;Antrag (Aktuelle Stunde);74;1.81
Antrag;Antrag mit Wahlvorschlag;50;1.23
Antrag;Entschließungsantrag;41;1.0
Antrag;Sitzung;36;0.88
Antrag;Selbstständiger Entschließungsantrag;10;0.25
Antrag;['Fragestunde', 'Mündliche Anfrage'];4;0.1
Antrag;Änderungsantrag;3;0.07
Antrag;Dringlichkeitsantrag;3;0.07
Antrag;none;2;0.05
Antrag;Aktuelle Stunde (Antrag);2;0.05
Antrag;Kleine Anfrage;2;0.05
Antrag;Bericht;2;0.05
Antrag;Gesetzentwurf;2;0.05
Antrag;Konzept;1;0.02
Antrag;['Sitzung', 'Sondersitzung'];1;0.02
