VTypL;First Document Type;Count;Percentage
Debatte;Sitzung;17925;91.68
Debatte;none;514;2.63
Debatte;Aktuelle Stunde;239;1.22
Debatte;Persönliche Erklärung;207;1.06
Debatte;Sitzung öffentlich;168;0.86
Debatte;['Sitzung', 'Öffentliche Anhörung'];70;0.36
Debatte;Aktuelle Stunde (Antrag);67;0.34
Debatte;['Sitzung', 'Anhörung'];54;0.28
Debatte;Regierungserklärung (Aussprache);33;0.17
Debatte;['Fragestunde', 'Mündliche Anfrage'];30;0.15
Debatte;Kleine Anfrage;28;0.14
Debatte;['Sitzung', 'Bericht'];25;0.13
Debatte;['Sitzung', 'Sondersitzung'];25;0.13
Debatte;['Sitzung', 'Öffentliche Beweisaufnahme'];21;0.11
Debatte;Erklärung;19;0.1
Debatte;Mitteilung;18;0.09
Debatte;Entschließungsantrag;17;0.09
Debatte;Antrag;14;0.07
Debatte;Umlaufverfahren;12;0.06
Debatte;Sondersitzung nichtöffentlich;6;0.03
Debatte;Persönliche Erklärung (Sondersitzung);6;0.03
Debatte;Beschlussempfehlung und Bericht;6;0.03
Debatte;Aussprache;5;0.03
Debatte;Regierungserklärung (Sondersitzung);4;0.02
Debatte;Regierungserklärung;4;0.02
Debatte;Antrag mit Wahlvorschlag;3;0.02
Debatte;Aussprache (Sondersitzung);3;0.02
Debatte;Bekanntmachung;3;0.02
Debatte;Beratung;2;0.01
Debatte;['Sitzung', 'Sondersitzung (Öffentliche Anhörung)'];2;0.01
Debatte;['Sitzung', 'Beratung'];2;0.01
Debatte;(Sondersitzung);2;0.01
Debatte;Empfehlung;2;0.01
Debatte;Sondersitzung öffentlich;2;0.01
Debatte;['Antwort', 'Aktuelle Stunde'];1;0.01
Debatte;Bericht;1;0.01
Debatte;['Sitzung öffentlich', 'Öffentliche Anhörung'];1;0.01
Debatte;Sitzung / Fortsetzung;1;0.01
Debatte;Vorschlag;1;0.01
Debatte;Unterrichtung;1;0.01
Debatte;['Sitzung', 'Mitteilung'];1;0.01
Debatte;['Sitzung', 'Regierungserklärung'];1;0.01
Debatte;Erklärung (Sondersitzung);1;0.01
Debatte;['Sitzung', 'Wahl'];1;0.01
Debatte;Konzept;1;0.01
Debatte;Antrag (Aktuelle Stunde);1;0.01
Debatte;['Sitzung', '(Anhörung)'];1;0.01
