VTypL;First Document Type;Count;Percentage
Sonstiges;none;5179;77.72
Sonstiges;Sitzung;948;14.23
Sonstiges;Mitteilung;155;2.33
Sonstiges;Bekanntmachung;123;1.85
Sonstiges;Übersicht;72;1.08
Sonstiges;Unterrichtung;29;0.44
Sonstiges;Blickpunkt;25;0.38
Sonstiges;Konzept;24;0.36
Sonstiges;Report;18;0.27
Sonstiges;['Sitzung', 'Sondersitzung'];17;0.26
Sonstiges;Kleine Anfrage;15;0.23
Sonstiges;Stellungnahme;9;0.14
Sonstiges;Aktuelle Stunde (Antrag);8;0.12
Sonstiges;Erklärung;7;0.11
Sonstiges;Bericht;5;0.08
Sonstiges;Konzeption;5;0.08
Sonstiges;Persönliche Erklärung;3;0.05
Sonstiges;['Fragestunde', 'Mündliche Anfrage'];3;0.05
Sonstiges;Maßnahmenpaket;2;0.03
Sonstiges;Leitlinien;2;0.03
Sonstiges;Entschließungsantrag;2;0.03
Sonstiges;Antrag mit Wahlvorschlag;2;0.03
Sonstiges;['Sitzung', 'Mitteilung'];1;0.02
Sonstiges;['Sitzung', 'Anhörung'];1;0.02
Sonstiges;Aktionsplan;1;0.02
Sonstiges;Statistische Angaben;1;0.02
Sonstiges;Sondersitzung;1;0.02
Sonstiges;Schlussrechnung;1;0.02
Sonstiges;Regierungserklärung;1;0.02
Sonstiges;Programm;1;0.02
Sonstiges;Beschlussempfehlung und Bericht;1;0.02
Sonstiges;Antrag;1;0.02
Sonstiges;Mitteilung (Sondersitzung);1;0.02
