year,Berlin,Baden-Württemberg,Brandenburg
1989,1098,533,
1990,1524,464,7.0
1991,2203,422,379.0
1992,2219,544,478.0
1993,2046,626,609.0
1994,2043,665,491.0
1995,1446,600,1030.0
1996,2017,384,890.0
1997,2020,395,719.0
1998,1761,277,659.0
1999,1231,264,635.0
2000,1709,264,1179.0
2001,982,192,1025.0
2002,1332,243,1110.0
2003,1436,248,1050.0
2004,1411,224,931.0
2005,1421,271,1226.0
2006,1211,291,1110.0
2007,1869,431,1183.0
2008,1845,456,1085.0
2009,1537,603,869.0
2010,1636,621,1366.0
2011,1180,407,1186.0
2012,1879,514,1203.0
2013,2136,566,1009.0
2014,2472,590,850.0
2015,2593,551,1560.0
2016,1798,658,1353.0
2017,2985,861,1286.0
2018,3687,940,1329.0
2019,3856,896,1129.0
2020,4036,849,1163.0
2021,3331,870,1267.0
2022,4142,859,1320.0
2023,3423,970,1404.0
