year,Berlin,Baden-Württemberg,Brandenburg
1989,115,979,
1990,148,940,8.0
1991,349,928,97.0
1992,336,524,94.0
1993,339,967,97.0
1994,485,826,91.0
1995,180,701,142.0
1996,425,436,126.0
1997,239,634,100.0
1998,248,602,104.0
1999,164,499,111.0
2000,197,522,115.0
2001,131,323,100.0
2002,363,440,107.0
2003,371,552,92.0
2004,272,517,81.0
2005,269,426,97.0
2006,204,383,105.0
2007,375,619,90.0
2008,256,664,103.0
2009,199,681,90.0
2010,190,521,126.0
2011,122,432,106.0
2012,211,613,90.0
2013,173,622,77.0
2014,144,638,110.0
2015,89,485,158.0
2016,62,366,158.0
2017,218,470,144.0
2018,193,740,129.0
2019,148,680,111.0
2020,163,637,221.0
2021,117,524,192.0
2022,201,803,192.0
2023,114,771,215.0
