year,Berlin,Baden-Württemberg,Brandenburg
1989,345,19,
1990,477,25,60.0
1991,495,27,344.0
1992,545,26,367.0
1993,538,35,435.0
1994,555,25,312.0
1995,405,33,390.0
1996,575,14,386.0
1997,495,36,449.0
1998,453,26,460.0
1999,342,25,327.0
2000,453,37,531.0
2001,423,25,497.0
2002,417,20,586.0
2003,364,25,786.0
2004,421,19,461.0
2005,318,17,687.0
2006,351,24,645.0
2007,413,28,548.0
2008,430,26,637.0
2009,379,27,370.0
2010,428,25,691.0
2011,277,38,675.0
2012,383,48,621.0
2013,295,57,612.0
2014,326,47,461.0
2015,290,54,669.0
2016,271,33,609.0
2017,324,31,698.0
2018,353,40,719.0
2019,304,31,534.0
2020,391,39,868.0
2021,345,41,917.0
2022,485,42,830.0
2023,333,45,907.0
