year,Berlin,Baden-Württemberg,Brandenburg
1989,37,129,
1990,58,283,8.0
1991,59,74,99.0
1992,71,98,78.0
1993,54,149,93.0
1994,70,158,52.0
1995,72,167,82.0
1996,58,61,69.0
1997,50,215,41.0
1998,40,154,59.0
1999,43,80,33.0
2000,50,176,45.0
2001,41,29,53.0
2002,74,85,49.0
2003,87,28,63.0
2004,64,142,61.0
2005,60,159,52.0
2006,69,32,56.0
2007,55,180,56.0
2008,50,59,47.0
2009,58,173,31.0
2010,50,153,71.0
2011,56,48,49.0
2012,57,93,54.0
2013,35,4,37.0
2014,40,23,29.0
2015,38,26,71.0
2016,36,26,42.0
2017,47,34,34.0
2018,46,44,56.0
2019,46,56,46.0
2020,70,79,47.0
2021,63,38,55.0
2022,79,55,53.0
2023,56,36,40.0
