year,Berlin,Baden-Württemberg,Brandenburg
1989,0.26,0.67,
1990,0.24,0.78,2.17
1991,0.16,0.86,0.89
1992,0.16,0.64,0.73
1993,0.18,0.56,0.59
1994,0.18,0.54,0.7
1995,0.25,0.6,0.34
1996,0.18,0.92,0.39
1997,0.18,0.9,0.49
1998,0.2,1.22,0.55
1999,0.29,1.37,0.56
2000,0.21,1.37,0.3
2001,0.36,1.84,0.34
2002,0.27,1.43,0.32
2003,0.25,1.41,0.33
2004,0.26,1.57,0.39
2005,0.25,1.33,0.29
2006,0.29,1.24,0.32
2007,0.19,0.82,0.3
2008,0.19,0.8,0.33
2009,0.23,0.58,0.4
2010,0.21,0.58,0.26
2011,0.3,0.89,0.3
2012,0.19,0.69,0.29
2013,0.16,0.62,0.35
2014,0.14,0.6,0.42
2015,0.14,0.63,0.23
2016,0.2,0.52,0.26
2017,0.12,0.42,0.28
2018,0.1,0.39,0.27
2019,0.09,0.4,0.32
2020,0.09,0.41,0.3
2021,0.11,0.41,0.29
2022,0.09,0.41,0.27
2023,0.1,0.37,0.26
