year,Berlin,Baden-Württemberg,Brandenburg
1989,2.96,0.37,
1990,2.23,0.38,7.43
1991,0.99,0.39,3.58
1992,1.07,0.69,3.62
1993,1.04,0.37,3.49
1994,0.71,0.44,3.77
1995,1.88,0.51,2.35
1996,0.79,0.82,2.58
1997,1.43,0.57,3.39
1998,1.36,0.59,3.28
1999,2.08,0.71,2.94
2000,1.73,0.68,2.83
2001,2.6,1.1,3.29
2002,0.94,0.79,3.25
2003,0.93,0.64,3.58
2004,1.25,0.68,4.11
2005,1.25,0.85,3.52
2006,1.72,0.9,3.22
2007,0.9,0.57,3.65
2008,1.29,0.54,3.3
2009,1.75,0.52,3.84
2010,1.78,0.69,2.74
2011,2.86,0.82,3.34
2012,1.67,0.58,3.85
2013,1.97,0.56,4.41
2014,2.31,0.56,3.16
2015,3.82,0.72,2.14
2016,5.9,0.95,2.18
2017,1.59,0.77,2.36
2018,1.79,0.48,2.58
2019,2.31,0.52,3.21
2020,2.04,0.55,1.5
2021,3.02,0.69,1.73
2022,1.69,0.44,1.8
2023,3.01,0.46,1.6
