year,Berlin,Baden-Württemberg,Brandenburg
1989,1.03,17.56,
1990,0.73,12.83,0.9
1991,0.71,12.46,1.01
1992,0.66,12.64,0.94
1993,0.66,9.29,0.78
1994,0.63,12.58,1.11
1995,0.87,9.88,0.88
1996,0.6,21.62,0.88
1997,0.71,8.43,0.77
1998,0.77,12.32,0.74
1999,1.03,12.58,1.05
2000,0.78,8.58,0.64
2001,0.82,13.17,0.69
2002,0.82,16.26,0.59
2003,0.95,13.75,0.44
2004,0.83,15.17,0.75
2005,1.09,16.25,0.5
2006,1.02,13.43,0.53
2007,0.83,10.37,0.62
2008,0.82,11.8,0.53
2009,0.92,10.27,0.93
2010,0.81,11.67,0.5
2011,1.27,8.51,0.51
2012,0.93,6.57,0.55
2013,1.17,5.89,0.56
2014,1.06,7.15,0.75
2015,1.21,6.09,0.52
2016,1.33,10.06,0.57
2017,1.09,8.2,0.5
2018,1.01,8.26,0.48
2019,1.14,9.83,0.65
2020,0.89,8.32,0.4
2021,1.02,8.7,0.38
2022,0.73,7.88,0.42
2023,1.06,7.5,0.37
