year,Berlin,Baden-Württemberg,Brandenburg
1989,8.81,2.57,
1990,5.54,1.04,7.0
1991,5.9,4.64,3.43
1992,5.01,3.54,4.55
1993,6.66,2.34,3.79
1994,4.87,2.15,6.88
1995,4.86,1.98,4.36
1996,6.07,5.25,4.94
1997,6.96,1.53,8.05
1998,8.15,2.09,6.17
1999,8.57,4.41,10.56
2000,7.08,1.97,7.91
2001,8.22,11.71,6.6
2002,4.53,3.07,6.96
2003,4.07,11.7,5.61
2004,5.38,2.33,5.5
2005,5.97,2.08,6.8
2006,5.15,10.55,6.02
2007,5.7,1.91,6.24
2008,6.86,5.69,7.46
2009,6.02,1.95,11.43
2010,6.73,2.2,5.1
2011,6.22,7.0,6.46
2012,6.11,3.21,6.43
2013,10.26,4.33,9.53
2014,8.79,13.0,11.71
2015,9.46,12.6,5.07
2016,9.94,13.44,8.12
2017,7.37,8.45,9.58
2018,7.53,7.98,6.36
2019,7.62,5.91,7.27
2020,4.97,4.22,7.89
2021,5.65,9.0,6.17
2022,4.4,6.09,6.6
2023,6.36,9.8,8.46
