"year" "land" "election" "afScore" "afScoreSD"
"1" 1990 "Baden-Wurttemberg" 0 -0.69733733906005 0.384182898752452
"2" 1991 "Baden-Wurttemberg" 0 -0.043769721568675 0.384627897893667
"3" 1992 "Baden-Wurttemberg" 1 -0.185513745200369 0.378905630525923
"4" 1993 "Baden-Wurttemberg" 0 -0.114019646767897 0.385073350083249
"5" 1994 "Baden-Wurttemberg" 0 -0.368027962508382 0.402921540926497
"6" 1995 "Baden-Wurttemberg" 0 -0.232338605582912 0.377962775723845
"7" 1996 "Baden-Wurttemberg" 1 -0.274369284112357 0.37647563337954
"8" 1997 "Baden-Wurttemberg" 0 -0.406044520931182 0.36616181224451
"9" 1998 "Baden-Wurttemberg" 0 -0.314774538430869 0.386672195554795
"10" 1999 "Baden-Wurttemberg" 0 -0.261236355877719 0.369191887541415
"11" 2000 "Baden-Wurttemberg" 0 -0.50963374398132 0.384687188572694
"12" 2001 "Baden-Wurttemberg" 1 -0.31967132125874 0.383518056450235
"13" 2002 "Baden-Wurttemberg" 0 -0.506060417113435 0.378201225800339
"14" 2003 "Baden-Wurttemberg" 0 -0.406077931548245 0.380814551748111
"15" 2004 "Baden-Wurttemberg" 0 -0.310618677913819 0.365594503956441
"16" 2005 "Baden-Wurttemberg" 0 -0.443614198557984 0.370326685403706
"17" 2006 "Baden-Wurttemberg" 1 -0.275130429467277 0.395450207228358
"18" 2007 "Baden-Wurttemberg" 0 -0.31904583266532 0.376436811488466
"19" 2008 "Baden-Wurttemberg" 0 -0.177518711923669 0.381628725411483
"20" 2009 "Baden-Wurttemberg" 0 -0.179547798205966 0.394914839762646
"21" 2010 "Baden-Wurttemberg" 0 -0.207136159001571 0.379923525183443
"22" 2011 "Baden-Wurttemberg" 1 -0.156300102193806 0.385721717407973
"23" 2012 "Baden-Wurttemberg" 0 0.0236375561726227 0.365767526389207
"24" 2013 "Baden-Wurttemberg" 0 0.0124502446725003 0.376639378598216
"25" 2014 "Baden-Wurttemberg" 0 0.151758853363511 0.381709398255281
"26" 2015 "Baden-Wurttemberg" 0 0.123689296390021 0.384375303809267
"27" 2016 "Baden-Wurttemberg" 1 -0.0187330090469855 0.377711894500884
"28" 2017 "Baden-Wurttemberg" 0 0.15884760987379 0.390319852514126
"29" 2018 "Baden-Wurttemberg" 0 0.314304573954072 0.386465758307
"30" 2019 "Baden-Wurttemberg" 0 0.311457061251153 0.376844816221728
"31" 2020 "Baden-Wurttemberg" 0 -0.151574755350153 0.396664319348113
"32" 1990 "Bavaria" 1 -0.277891435694704 0.392156245037812
"33" 1991 "Bavaria" 0 0.0193300869118364 0.40131883283693
"34" 1992 "Bavaria" 0 0.139278744918896 0.394324939852831
"35" 1993 "Bavaria" 0 0.113501290050282 0.384227728450727
"36" 1994 "Bavaria" 1 0.103457111446257 0.391496758484887
"37" 1995 "Bavaria" 0 -0.121640378361563 0.388228789763513
"38" 1996 "Bavaria" 0 0.111635603256216 0.37268694684075
"39" 1997 "Bavaria" 0 0.0682730366659311 0.394642377818779
"40" 1998 "Bavaria" 1 -0.164733498063587 0.38567177530436
"41" 1999 "Bavaria" 0 -0.123815365465685 0.386274160981885
"42" 2000 "Bavaria" 0 -0.0835208907833452 0.36530662663475
"43" 2001 "Bavaria" 0 -0.0599602376855228 0.389501655341949
"44" 2002 "Bavaria" 0 0.0435077697849764 0.37995625138601
"45" 2003 "Bavaria" 1 -0.166503290622482 0.372788915142526
"46" 2004 "Bavaria" 0 -0.0607058980744634 0.379670826642498
"47" 2005 "Bavaria" 0 -0.0122281214125634 0.370285809396939
"48" 2006 "Bavaria" 0 0.0107936770641493 0.37370029704181
"49" 2007 "Bavaria" 0 0.0933068194948211 0.395560099869004
"50" 2008 "Bavaria" 1 -0.0971608736555507 0.380079644525979
"51" 2009 "Bavaria" 0 0.402839071789027 0.392637475678361
"52" 2010 "Bavaria" 0 0.324183875778713 0.387131227784056
"53" 2011 "Bavaria" 0 0.321014432980938 0.387126127421522
"54" 2012 "Bavaria" 0 0.288836626862714 0.365902387398578
"55" 2013 "Bavaria" 1 0.244140190965301 0.391098998775045
"56" 2014 "Bavaria" 0 0.454912369228162 0.385969366407037
"57" 2015 "Bavaria" 0 0.662434427195209 0.392809895391398
