"year"|"land"|"abbreviation"|"salary"|"fp_mp_salary_2015"|"staff"|"fp_staffmp_2015"|"commDays"|"fp_com_sessions"|"plenDays"|"fp_plenary_sessions"|"turnover"|"election"
"1"|1990|"Baden-Wurttemberg"|"BW"|3693.4580078125|5626.89208984375|55534.16015625|289533.09375|129|708|17|51|NA|0
"2"|1991|"Baden-Wurttemberg"|"BW"|5104.33251953125|7724.80078125|85514.859375|596092.625|129|804|32|67|NA|0
"3"|1992|"Baden-Wurttemberg"|"BW"|5127.78173828125|7615.1279296875|83797.5390625|578510.8125|141|805|27|61|0.263999998569489|1
"4"|1993|"Baden-Wurttemberg"|"BW"|4906.6953125|7371.4208984375|97228.9375|571562.875|154|805|28|71|NA|0
"5"|1994|"Baden-Wurttemberg"|"BW"|4780.37109375|7181.6416015625|100596.5859375|544859.9375|154|804|19|53|NA|0
"6"|1995|"Baden-Wurttemberg"|"BW"|4875.99560546875|7375.26611328125|91263.2265625|525876.625|154|717|25|68|NA|0
"7"|1996|"Baden-Wurttemberg"|"BW"|5307.7607421875|7592.11328125|70967.515625|535703.25|134|717|25|71|0.315068483352661|1
"8"|1997|"Baden-Wurttemberg"|"BW"|5205.162109375|7618.31494140625|75792.6015625|517189.5625|116|717|21|62|NA|0
"9"|1998|"Baden-Wurttemberg"|"BW"|5261.80078125|7978.732421875|75625.1953125|523400.4375|117|717|24|51|NA|0
"10"|1999|"Baden-Wurttemberg"|"BW"|5375.05322265625|8353.912109375|69582.828125|545691.0625|116|759|26|65|NA|0
"11"|2000|"Baden-Wurttemberg"|"BW"|5423.27734375|8263.859375|65904.4765625|541028.8125|116|759|18|62|NA|0
"12"|2001|"Baden-Wurttemberg"|"BW"|5439.1416015625|8281.046875|77933.28125|532329|106|760|23|69|0.464516133069992|1
"13"|2002|"Baden-Wurttemberg"|"BW"|5516.94921875|8326.876953125|79064.203125|572880.125|96|759|17|60|NA|0
"14"|2003|"Baden-Wurttemberg"|"BW"|5457.48486328125|8394.01171875|77526.1953125|558860.8125|96|664|21|67|NA|0
"15"|2004|"Baden-Wurttemberg"|"BW"|5495.87744140625|8255.5947265625|86220|550106.625|97|664|23|65|NA|0
"16"|2005|"Baden-Wurttemberg"|"BW"|5510.44091796875|8131.09033203125|88471.578125|538589.1875|96|664|18|47|NA|0
"17"|2006|"Baden-Wurttemberg"|"BW"|5486.30126953125|8001.1416015625|80610.859375|545197.3125|106|715|24|65|0.296875|1
"18"|2007|"Baden-Wurttemberg"|"BW"|5445.3125|7822.54443359375|84375|562149.9375|117|715|22|60|NA|0
"19"|2008|"Baden-Wurttemberg"|"BW"|5430.90283203125|7985.85400390625|81648.8046875|563367.25|117|716|27|63|NA|0
"20"|2009|"Baden-Wurttemberg"|"BW"|5558.568359375|8316.703125|81927.7734375|580668.9375|117|715|27|49|NA|0
"21"|2010|"Baden-Wurttemberg"|"BW"|5415.236328125|8227.4677734375|83427.7734375|576511.5|117|754|26|69|NA|0
"22"|2011|"Baden-Wurttemberg"|"BW"|7096.638671875|8054.6220703125|90155.734375|566521.3125|116|754|22|68|0.388489216566086|1
"23"|2012|"Baden-Wurttemberg"|"BW"|7183.31640625|8197.734375|108957.6015625|566666.625|117|754|26|65|NA|0
"24"|2013|"Baden-Wurttemberg"|"BW"|7308.62939453125|8377.6650390625|110341.3515625|560786.1875|117|754|25|44|NA|0
"25"|2014|"Baden-Wurttemberg"|"BW"|7334.67333984375|8502.009765625|135965.328125|568139.4375|117|737.5|27|71|NA|0
"26"|2015|"Baden-Wurttemberg"|"BW"|7448|9082|144031.890625|587290|117|737.5|25|70|NA|0
"27"|2016|"Baden-Wurttemberg"|"BW"|7578.109375|9158.810546875|141976.140625|617533.4375|120|737.5|20|64|0.434782594442368|1
"28"|2017|"Baden-Wurttemberg"|"BW"|7623.529296875|9249.4853515625|166698.875|565313.6875|127|737.5|23|40|NA|0
"29"|2018|"Baden-Wurttemberg"|"BW"|7671.4833984375|9307.3310546875|169940.171875|737850.8125|127|737.5|27|67|NA|0
"30"|2019|"Baden-Wurttemberg"|"BW"|7796.77099609375|9431.970703125|172454.328125|794801.875|127|737.5|26|66|NA|0
"31"|2020|"Baden-Wurttemberg"|"BW"|7770.94189453125|9544.2021484375|201147.078125|803472.0625|63|737.5|10|30|NA|0
"32"|1990|"Bavaria"|"BY"|4946.6591796875|5626.89208984375|NA|289533.09375|299|708|29|51|0.274509817361832|1
"33"|1991|"Bavaria"|"BY"|6479.74658203125|7724.80078125|NA|596092.625|309|804|34|67|NA|0
"34"|1992|"Bavaria"|"BY"|6465.4638671875|7615.1279296875|NA|578510.8125|402|805|36|61|NA|0
"35"|1993|"Bavaria"|"BY"|6186.70263671875|7371.4208984375|NA|571562.875|391|805|36|71|NA|0
"36"|1994|"Bavaria"|"BY"|6027.42431640625|7181.6416015625|NA|544859.9375|346|804|38|53|0.308823525905609|1
"37"|1995|"Bavaria"|"BY"|6529.013671875|7375.26611328125|NA|525876.625|292|717|30|68|NA|0
"38"|1996|"Bavaria"|"BY"|6695.1689453125|7592.11328125|43482.078125|535703.25|338|717|31|71|NA|0
"39"|1997|"Bavaria"|"BY"|6664.58447265625|7618.31494140625|52698.87890625|517189.5625|329|717|29|62|NA|0
"40"|1998|"Bavaria"|"BY"|6691.19775390625|7978.732421875|65574.046875|523400.4375|251|717|22|51|0.181372553110123|1
"41"|1999|"Bavaria"|"BY"|6788.8916015625|8353.912109375|42954.9765625|545691.0625|284|759|25|65|NA|0
"42"|2000|"Bavaria"|"BY"|6876.52392578125|8263.859375|57008.87890625|541028.8125|314|759|23|62|NA|0
"43"|2001|"Bavaria"|"BY"|6897.10791015625|8281.046875|54192.828125|532329|311|760|24|69|NA|0
"44"|2002|"Bavaria"|"BY"|6922.51806640625|8326.876953125|54589.80078125|572880.125|305|759|28|60|NA|0
"45"|2003|"Bavaria"|"BY"|7019.16162109375|8394.01171875|57143.7109375|558860.8125|219|664|23|67|0.35784313082695|1
"46"|2004|"Bavaria"|"BY"|7055.35888671875|8255.5947265625|57748.98828125|550106.625|276|664|25|65|NA|0
"47"|2005|"Bavaria"|"BY"|7067.28564453125|8131.09033203125|57720.41796875|538589.1875|297|664|25|47|NA|0
"48"|2006|"Bavaria"|"BY"|7038.81298828125|8001.1416015625|57750.5078125|545197.3125|318|715|26|65|NA|0
"49"|2007|"Bavaria"|"BY"|6972.09814453125|7822.54443359375|58861.609375|562149.9375|306|715|29|60|NA|0
"50"|2008|"Bavaria"|"BY"|6981.50146484375|7985.85400390625|56089.21484375|563367.25|192|716|27|63|0.388888895511627|1
"51"|2009|"Bavaria"|"BY"|7202.8203125|8316.703125|148721.6875|580668.9375|285|715|29|49|NA|0
"52"|2010|"Bavaria"|"BY"|7133.04736328125|8227.4677734375|150995.515625|576511.5|312|754|26|69|NA|0
"53"|2011|"Bavaria"|"BY"|7227.94140625|8054.6220703125|148281.703125|566521.3125|264|754|28|68|NA|0
"54"|2012|"Bavaria"|"BY"|7270.85498046875|8197.734375|152235.703125|566666.625|299|754|25|65|NA|0
