year,Berlin,Baden-Württemberg,Brandenburg
1989,18,9,
1990,16,7,3.0
1991,16,8,15.0
1992,19,20,15.0
1993,16,12,15.0
1994,19,10,16.0
1995,14,12,13.0
1996,17,15,11.0
1997,16,7,12.0
1998,19,9,12.0
1999,15,6,10.0
2000,17,9,8.0
2001,17,12,12.0
2002,18,13,10.0
2003,18,15,14.0
2004,18,9,10.0
2005,19,9,9.0
2006,12,11,9.0
2007,19,11,10.0
2008,21,11,10.0
2009,15,20,13.0
2010,12,11,19.0
2011,7,11,16.0
2012,12,11,10.0
2013,9,11,12.0
2014,7,10,10.0
2015,5,13,15.0
2016,4,8,15.0
2017,4,10,20.0
2018,4,10,13.0
2019,7,7,8.0
2020,4,8,18.0
2021,5,6,17.0
2022,6,8,12.0
2023,7,9,13.0
