year,Berlin,Baden-Württemberg,Brandenburg
1989,49,49,
1990,43,45,2.0
1991,112,45,28.0
1992,99,52,27.0
1993,107,68,37.0
1994,70,39,36.0
1995,50,30,48.0
1996,114,35,39.0
1997,74,28,43.0
1998,74,23,30.0
1999,51,23,21.0
2000,55,23,29.0
2001,38,34,23.0
2002,88,39,17.0
2003,73,48,17.0
2004,60,36,16.0
2005,55,27,11.0
2006,44,33,16.0
2007,88,34,13.0
2008,58,33,16.0
2009,53,34,18.0
2010,44,22,26.0
2011,33,23,27.0
2012,71,21,25.0
2013,53,14,27.0
2014,47,17,31.0
2015,29,12,36.0
2016,24,18,38.0
2017,77,16,40.0
2018,72,21,36.0
2019,71,16,34.0
2020,54,16,54.0
2021,35,20,33.0
2022,40,24,36.0
2023,39,19,38.0
