year,Berlin,Baden-Württemberg,Brandenburg
1989,22,2,
1990,31,3,15.0
1991,28,3,28.0
1992,26,5,23.0
1993,17,6,43.0
1994,13,5,39.0
1995,12,4,42.0
1996,26,3,34.0
1997,21,4,40.0
1998,20,5,30.0
1999,13,5,42.0
2000,20,4,35.0
2001,13,5,37.0
2002,19,3,24.0
2003,18,8,34.0
2004,17,5,26.0
2005,11,5,19.0
2006,20,6,18.0
2007,19,4,18.0
2008,20,7,32.0
2009,12,5,20.0
2010,11,5,23.0
2011,13,6,28.0
2012,19,5,30.0
2013,18,5,29.0
2014,12,6,22.0
2015,12,4,33.0
2016,10,4,35.0
2017,19,2,29.0
2018,14,2,23.0
2019,15,3,27.0
2020,24,4,57.0
2021,21,4,48.0
2022,22,4,33.0
2023,10,4,29.0
