year,Berlin,Baden-Württemberg,Brandenburg
1989,21,41,
1990,45,68,8.0
1991,42,32,75.0
1992,42,61,60.0
1993,36,59,73.0
1994,43,62,42.0
1995,43,74,66.0
1996,33,39,50.0
1997,35,91,35.0
1998,26,68,41.0
1999,27,53,16.0
2000,28,73,37.0
2001,17,15,41.0
2002,36,18,26.0
2003,36,19,44.0
2004,29,62,37.0
2005,29,51,34.0
2006,36,27,35.0
2007,32,54,44.0
2008,24,38,28.0
2009,32,67,25.0
2010,25,60,55.0
2011,20,28,39.0
2012,33,40,42.0
2013,24,2,31.0
2014,20,15,18.0
2015,22,18,44.0
2016,23,20,35.0
2017,28,25,27.0
2018,20,21,46.0
2019,18,32,34.0
2020,22,33,43.0
2021,34,27,40.0
2022,37,30,43.0
2023,28,16,32.0
